Dilemma,Domain,Language,Prompting,LLM,Scenario_ID,MME_Score,Fraction_A,SD,CI_Lower,CI_Upper,P_Value
MF,D1,ES,ZSCOT,Gemini 2.0 Flash Lite,D1_MF_ZSCOT_ES,0.53,0.8,0.04,0.72,0.88,0.0
MF,D1,EN,FSCOT,gpt4o,D1_MF_FSCOT_EN,0.68,0.96,0.02,0.92,1.0,0.0
MF,D1,EN,FSCOT,DeepSeek,D1_MF_FSCOT_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D1,EN,FSCOT,LeChat Mistral Large,D1_MF_FSCOT_EN,0.68,0.03,0.02,0.0,0.06,0.0
MF,D1,EN,FSCOT,Gemini 2.0 Flash Lite,D1_MF_FSCOT_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D1,CN,FSCOT,gpt4o,D1_MF_FSCOT_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D1,CN,FSCOT,DeepSeek,D1_MF_FSCOT_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D1,CN,FSCOT,LeChat Mistral Large,D1_MF_FSCOT_CN,0.21,0.48,0.05,0.38,0.58,0.0
MF,D1,CN,FSCOT,Gemini 2.0 Flash Lite,D1_MF_FSCOT_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D1,JP,FSCOT,gpt4o,D1_MF_FSCOT_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D1,JP,FSCOT,DeepSeek,D1_MF_FSCOT_JP,0.0,0.0,0.0,0.0,0.0,1.0
MF,D1,JP,FSCOT,LeChat Mistral Large,D1_MF_FSCOT_JP,0.0,0.0,0.0,0.0,0.0,1.0
MF,D1,JP,FSCOT,Gemini 2.0 Flash Lite,D1_MF_FSCOT_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D1,ES,FSCOT,gpt4o,D1_MF_FSCOT_ES,0.53,0.75,0.04,0.67,0.83,0.0
MF,D1,ES,FSCOT,DeepSeek,D1_MF_FSCOT_ES,0.53,0.69,0.05,0.6,0.78,0.0
MF,D1,ES,FSCOT,LeChat Mistral Large,D1_MF_FSCOT_ES,0.53,0.03,0.02,0.0,0.06,0.0
MF,D1,ES,FSCOT,Gemini 2.0 Flash Lite,D1_MF_FSCOT_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D2,EN,PLAIN,gpt4o,D2_MF_Plain_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D2,EN,PLAIN,DeepSeek,D2_MF_Plain_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D2,EN,PLAIN,LeChat Mistral Large,D2_MF_Plain_EN,0.68,0.63,0.05,0.54,0.72,0.02
MF,D2,EN,PLAIN,Gemini 2.0 Flash Lite,D2_MF_Plain_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D2,CN,PLAIN,gpt4o,D2_MF_Plain_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D2,CN,PLAIN,DeepSeek,D2_MF_Plain_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D2,CN,PLAIN,LeChat Mistral Large,D2_MF_Plain_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D2,CN,PLAIN,Gemini 2.0 Flash Lite,D2_MF_Plain_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D2,JP,PLAIN,gpt4o,D2_MF_Plain_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D2,JP,PLAIN,DeepSeek,D2_MF_Plain_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D2,JP,PLAIN,LeChat Mistral Large,D2_MF_Plain_JP,0.0,0.97,0.02,0.94,1.0,0.0
MF,D2,JP,PLAIN,Gemini 2.0 Flash Lite,D2_MF_Plain_JP,0.0,0.57,0.05,0.47,0.67,0.0
MF,D2,ES,PLAIN,gpt4o,D2_MF_Plain_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D2,ES,PLAIN,DeepSeek,D2_MF_Plain_ES,0.53,0.99,0.0,0.97,1.0,0.0
MF,D2,ES,PLAIN,LeChat Mistral Large,D2_MF_Plain_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D2,ES,PLAIN,Gemini 2.0 Flash Lite,D2_MF_Plain_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D2,EN,CC,gpt4o,D2_MF_CC_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D2,EN,CC,DeepSeek,D2_MF_CC_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D2,EN,CC,LeChat Mistral Large,D2_MF_CC_EN,0.68,0.83,0.04,0.76,0.9,0.0
MF,D2,EN,CC,Gemini 2.0 Flash Lite,D2_MF_CC_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D2,CN,CC,gpt4o,D2_MF_CC_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D2,CN,CC,DeepSeek,D2_MF_CC_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D2,CN,CC,LeChat Mistral Large,D2_MF_CC_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D2,CN,CC,Gemini 2.0 Flash Lite,D2_MF_CC_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D2,JP,CC,gpt4o,D2_MF_CC_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D2,JP,CC,DeepSeek,D2_MF_CC_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D2,JP,CC,LeChat Mistral Large,D2_MF_CC_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D2,JP,CC,Gemini 2.0 Flash Lite,D2_MF_CC_JP,0.0,0.88,0.03,0.82,0.94,0.0
MF,D2,ES,CC,gpt4o,D2_MF_CC_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D2,ES,CC,DeepSeek,D2_MF_CC_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D2,ES,CC,LeChat Mistral Large,D2_MF_CC_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D2,ES,CC,Gemini 2.0 Flash Lite,D2_MF_CC_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D2,EN,ZSCOT,gpt4o,D2_MF_ZSCOT_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D2,EN,ZSCOT,DeepSeek,D2_MF_ZSCOT_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D2,EN,ZSCOT,LeChat Mistral Large,D2_MF_ZSCOT_EN,0.68,0.9,0.03,0.84,0.96,0.0
MF,D2,EN,ZSCOT,Gemini 2.0 Flash Lite,D2_MF_ZSCOT_EN,0.68,0.99,0.0,0.97,1.0,0.0
MF,D2,CN,ZSCOT,gpt4o,D2_MF_ZSCOT_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D2,CN,ZSCOT,DeepSeek,D2_MF_ZSCOT_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D2,CN,ZSCOT,LeChat Mistral Large,D2_MF_ZSCOT_CN,0.21,0.99,0.0,0.97,1.0,0.0
MF,D2,CN,ZSCOT,Gemini 2.0 Flash Lite,D2_MF_ZSCOT_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D2,JP,ZSCOT,gpt4o,D2_MF_ZSCOT_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D2,JP,ZSCOT,DeepSeek,D2_MF_ZSCOT_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D2,JP,ZSCOT,LeChat Mistral Large,D2_MF_ZSCOT_JP,0.0,0.99,0.0,0.97,1.0,0.0
MF,D2,JP,ZSCOT,Gemini 2.0 Flash Lite,D2_MF_ZSCOT_JP,0.0,0.79,0.04,0.71,0.87,0.0
MF,D2,ES,ZSCOT,gpt4o,D2_MF_ZSCOT_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D2,ES,ZSCOT,DeepSeek,D2_MF_ZSCOT_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D2,ES,ZSCOT,LeChat Mistral Large,D2_MF_ZSCOT_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D2,ES,ZSCOT,Gemini 2.0 Flash Lite,D2_MF_ZSCOT_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D2,EN,FSCOT,gpt4o,D2_MF_FSCOT_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D2,EN,FSCOT,DeepSeek,D2_MF_FSCOT_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D2,EN,FSCOT,LeChat Mistral Large,D2_MF_FSCOT_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D2,EN,FSCOT,Gemini 2.0 Flash Lite,D2_MF_FSCOT_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D2,CN,FSCOT,gpt4o,D2_MF_FSCOT_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D2,CN,FSCOT,DeepSeek,D2_MF_FSCOT_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D2,CN,FSCOT,LeChat Mistral Large,D2_MF_FSCOT_CN,0.21,0.98,0.01,0.95,1.0,0.0
MF,D2,CN,FSCOT,Gemini 2.0 Flash Lite,D2_MF_FSCOT_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D2,JP,FSCOT,gpt4o,D2_MF_FSCOT_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D2,JP,FSCOT,DeepSeek,D2_MF_FSCOT_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D2,JP,FSCOT,LeChat Mistral Large,D2_MF_FSCOT_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D2,JP,FSCOT,Gemini 2.0 Flash Lite,D2_MF_FSCOT_JP,0.0,0.0,0.0,0.0,0.0,1.0
MF,D2,ES,FSCOT,gpt4o,D2_MF_FSCOT_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D2,ES,FSCOT,DeepSeek,D2_MF_FSCOT_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D2,ES,FSCOT,LeChat Mistral Large,D2_MF_FSCOT_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D2,ES,FSCOT,Gemini 2.0 Flash Lite,D2_MF_FSCOT_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D3,EN,PLAIN,gpt4o,D3_MF_Plain_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D3,EN,PLAIN,DeepSeek,D3_MF_Plain_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D3,EN,PLAIN,LeChat Mistral Large,D3_MF_Plain_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D3,EN,PLAIN,Gemini 2.0 Flash Lite,D3_MF_Plain_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,PLAIN,gpt4o,D3_MF_Plain_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,PLAIN,DeepSeek,D3_MF_Plain_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,PLAIN,LeChat Mistral Large,D3_MF_Plain_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,PLAIN,Gemini 2.0 Flash Lite,D3_MF_Plain_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,JP,PLAIN,gpt4o,D3_MF_Plain_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D3,JP,PLAIN,DeepSeek,D3_MF_Plain_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D3,JP,PLAIN,LeChat Mistral Large,D3_MF_Plain_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D3,JP,PLAIN,Gemini 2.0 Flash Lite,D3_MF_Plain_JP,0.0,0.98,0.01,0.95,1.0,0.0
MF,D3,ES,PLAIN,gpt4o,D3_MF_Plain_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D3,ES,PLAIN,DeepSeek,D3_MF_Plain_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D3,ES,PLAIN,LeChat Mistral Large,D3_MF_Plain_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D3,ES,PLAIN,Gemini 2.0 Flash Lite,D3_MF_Plain_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D3,EN,CC,gpt4o,D3_MF_CC_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D3,EN,CC,DeepSeek,D3_MF_CC_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D3,EN,CC,LeChat Mistral Large,D3_MF_CC_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D3,EN,CC,Gemini 2.0 Flash Lite,D3_MF_CC_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,CC,gpt4o,D3_MF_CC_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,CC,DeepSeek,D3_MF_CC_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,CC,LeChat Mistral Large,D3_MF_CC_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,CC,Gemini 2.0 Flash Lite,D3_MF_CC_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,JP,CC,gpt4o,D3_MF_CC_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D3,JP,CC,DeepSeek,D3_MF_CC_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D3,JP,CC,LeChat Mistral Large,D3_MF_CC_JP,0.0,0.99,0.0,0.97,1.0,0.0
MF,D3,JP,CC,Gemini 2.0 Flash Lite,D3_MF_CC_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D3,ES,CC,gpt4o,D3_MF_CC_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D3,ES,CC,DeepSeek,D3_MF_CC_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D3,ES,CC,LeChat Mistral Large,D3_MF_CC_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D3,ES,CC,Gemini 2.0 Flash Lite,D3_MF_CC_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D3,EN,ZSCOT,gpt4o,D3_MF_ZSCOT_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D3,EN,ZSCOT,DeepSeek,D3_MF_ZSCOT_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D3,EN,ZSCOT,LeChat Mistral Large,D3_MF_ZSCOT_EN,0.68,0.58,0.05,0.48,0.68,0.03
MF,D3,EN,ZSCOT,Gemini 2.0 Flash Lite,D3_MF_ZSCOT_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,ZSCOT,gpt4o,D3_MF_ZSCOT_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,ZSCOT,DeepSeek,D3_MF_ZSCOT_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,ZSCOT,LeChat Mistral Large,D3_MF_ZSCOT_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,ZSCOT,Gemini 2.0 Flash Lite,D3_MF_ZSCOT_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,JP,ZSCOT,gpt4o,D3_MF_ZSCOT_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D3,JP,ZSCOT,DeepSeek,D3_MF_ZSCOT_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D3,JP,ZSCOT,LeChat Mistral Large,D3_MF_ZSCOT_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D3,JP,ZSCOT,Gemini 2.0 Flash Lite,D3_MF_ZSCOT_JP,0.0,0.99,0.0,0.97,1.0,0.0
MF,D3,ES,ZSCOT,gpt4o,D3_MF_ZSCOT_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D3,ES,ZSCOT,DeepSeek,D3_MF_ZSCOT_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D3,ES,ZSCOT,LeChat Mistral Large,D3_MF_ZSCOT_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D3,ES,ZSCOT,Gemini 2.0 Flash Lite,D3_MF_ZSCOT_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D3,EN,FSCOT,gpt4o,D3_MF_FSCOT_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D3,EN,FSCOT,DeepSeek,D3_MF_FSCOT_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D3,EN,FSCOT,LeChat Mistral Large,D3_MF_FSCOT_EN,0.68,0.98,0.01,0.95,1.0,0.0
MF,D3,EN,FSCOT,Gemini 2.0 Flash Lite,D3_MF_FSCOT_EN,0.68,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,FSCOT,gpt4o,D3_MF_FSCOT_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,FSCOT,DeepSeek,D3_MF_FSCOT_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,FSCOT,LeChat Mistral Large,D3_MF_FSCOT_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,CN,FSCOT,Gemini 2.0 Flash Lite,D3_MF_FSCOT_CN,0.21,1.0,0.0,1.0,1.0,0.0
MF,D3,JP,FSCOT,gpt4o,D3_MF_FSCOT_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D3,JP,FSCOT,DeepSeek,D3_MF_FSCOT_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D3,JP,FSCOT,LeChat Mistral Large,D3_MF_FSCOT_JP,0.0,0.45,0.05,0.35,0.55,0.0
MF,D3,JP,FSCOT,Gemini 2.0 Flash Lite,D3_MF_FSCOT_JP,0.0,1.0,0.0,1.0,1.0,0.0
MF,D3,ES,FSCOT,gpt4o,D3_MF_FSCOT_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D3,ES,FSCOT,DeepSeek,D3_MF_FSCOT_ES,0.53,1.0,0.0,1.0,1.0,0.0
MF,D3,ES,FSCOT,LeChat Mistral Large,D3_MF_FSCOT_ES,0.53,0.99,0.0,0.97,1.0,0.0
MF,D3,ES,FSCOT,Gemini 2.0 Flash Lite,D3_MF_FSCOT_ES,0.53,1.0,0.0,1.0,1.0,0.0
