Dilemma,Domain,Language,Country,Prompting,LLM,LLM_std,Scenario_ID,MME_Score,Fraction_A,SD,CI_Lower,CI_Upper,P_Value,Is_Deterministic,LC,Gradient_Fit,Direction,Deliberation,Del_Group,Cell_Type,Bin_Score
HL,D1,CN,China,ZSCOT,LeChat Mistral Large,Mistral Large,D1_HL_ZSCOT_CN,0.43,0.82,0.04,0.74,0.9,0.0,0,-3,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D1,CN,China,ZSCOT,Gemini 2.0 Flash Lite,Gemini Flash,D1_HL_ZSCOT_CN,0.43,0.98,0.01,0.95,1.0,0.0,0,-3,Inverting,A-territory,Near-deterministic,Det/Near-det,Gradient inverted,5
HL,D1,CN,China,FSCOT,gpt4o,GPT-4o,D1_HL_FSCOT_CN,0.43,0.93,0.03,0.88,0.98,0.0,0,-1,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D1,CN,China,FSCOT,DeepSeek,DeepSeek R1,D1_HL_FSCOT_CN,0.43,1.0,0.0,1.0,1.0,0.0,1,-1,Inverting,A-territory,Deterministic,Det/Near-det,Gradient inverted,5
HL,D1,CN,China,FSCOT,LeChat Mistral Large,Mistral Large,D1_HL_FSCOT_CN,0.43,0.0,0.0,0.0,0.0,0.0,1,2,Tracking,B-territory,Deterministic,Det/Near-det,Gradient-sensitive overshoot,3
HL,D1,CN,China,FSCOT,Gemini 2.0 Flash Lite,Gemini Flash,D1_HL_FSCOT_CN,0.43,0.65,0.05,0.56,0.74,0.0,0,3,Tracking,A-territory,Variable,Variable,Calibrated,1
HL,D1,JP,Japan,PLAIN,gpt4o,GPT-4o,D1_HL_Plain_JP,0.37,0.0,0.0,0.0,0.0,0.0,1,0,Undifferentiated,B-territory,Deterministic,Det/Near-det,Gradient erased,4
HL,D1,JP,Japan,PLAIN,DeepSeek,DeepSeek R1,D1_HL_Plain_JP,0.37,0.0,0.0,0.0,0.0,0.0,1,0,Undifferentiated,B-territory,Deterministic,Det/Near-det,Gradient erased,4
HL,D1,JP,Japan,PLAIN,LeChat Mistral Large,Mistral Large,D1_HL_Plain_JP,0.37,0.99,0.01,0.97,1.0,0.0,0,-2,Inverting,A-territory,Near-deterministic,Det/Near-det,Gradient inverted,5
HL,D1,JP,Japan,PLAIN,Gemini 2.0 Flash Lite,Gemini Flash,D1_HL_Plain_JP,0.37,1.0,0.0,1.0,1.0,0.0,1,-2,Inverting,A-territory,Deterministic,Det/Near-det,Gradient inverted,5
HL,D1,JP,Japan,CC,gpt4o,GPT-4o,D1_HL_CC_JP,0.37,0.0,0.0,0.0,0.0,0.0,1,0,Undifferentiated,B-territory,Deterministic,Det/Near-det,Gradient erased,4
HL,D1,JP,Japan,CC,DeepSeek,DeepSeek R1,D1_HL_CC_JP,0.37,0.02,0.01,0.0,0.05,0.0,0,-1,Inverting,B-territory,Near-deterministic,Det/Near-det,Non-tracking rigidity,7
HL,D1,JP,Japan,CC,LeChat Mistral Large,Mistral Large,D1_HL_CC_JP,0.37,0.96,0.02,0.92,1.0,0.0,0,-1,Inverting,A-territory,Near-deterministic,Det/Near-det,Gradient inverted,5
HL,D1,JP,Japan,CC,Gemini 2.0 Flash Lite,Gemini Flash,D1_HL_CC_JP,0.37,1.0,0.0,1.0,1.0,0.0,1,-1,Inverting,A-territory,Deterministic,Det/Near-det,Gradient inverted,5
HL,D1,JP,Japan,ZSCOT,gpt4o,GPT-4o,D1_HL_ZSCOT_JP,0.37,0.85,0.04,0.78,0.92,0.0,0,-1,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D1,JP,Japan,ZSCOT,DeepSeek,DeepSeek R1,D1_HL_ZSCOT_JP,0.37,0.72,0.04,0.63,0.81,0.0,0,-1,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D1,JP,Japan,ZSCOT,LeChat Mistral Large,Mistral Large,D1_HL_ZSCOT_JP,0.37,0.84,0.04,0.77,0.91,0.0,0,-3,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D1,JP,Japan,ZSCOT,Gemini 2.0 Flash Lite,Gemini Flash,D1_HL_ZSCOT_JP,0.37,0.99,0.01,0.97,1.0,0.0,0,-3,Inverting,A-territory,Near-deterministic,Det/Near-det,Gradient inverted,5
HL,D1,JP,Japan,FSCOT,gpt4o,GPT-4o,D1_HL_FSCOT_JP,0.37,0.26,0.04,0.17,0.35,0.02,0,1,Tracking,B-territory,Variable,Variable,Gradient-sensitive overshoot,3
HL,D1,JP,Japan,FSCOT,DeepSeek,DeepSeek R1,D1_HL_FSCOT_JP,0.37,0.05,0.02,0.01,0.09,0.0,0,3,Tracking,B-territory,Near-deterministic,Det/Near-det,Gradient-sensitive overshoot,3
HL,D1,JP,Japan,FSCOT,LeChat Mistral Large,Mistral Large,D1_HL_FSCOT_JP,0.37,0.0,0.0,0.0,0.0,0.0,1,2,Tracking,B-territory,Deterministic,Det/Near-det,Gradient-sensitive overshoot,3
HL,D1,JP,Japan,FSCOT,Gemini 2.0 Flash Lite,Gemini Flash,D1_HL_FSCOT_JP,0.37,0.0,0.0,0.0,0.0,0.0,1,3,Tracking,B-territory,Deterministic,Det/Near-det,Gradient-sensitive overshoot,3
HL,D1,ES,Mexico,PLAIN,gpt4o,GPT-4o,D1_HL_Plain_ES,0.63,0.0,0.0,0.0,0.0,0.0,1,0,Undifferentiated,B-territory,Deterministic,Det/Near-det,Gradient erased,4
HL,D1,ES,Mexico,PLAIN,DeepSeek,DeepSeek R1,D1_HL_Plain_ES,0.63,0.0,0.0,0.0,0.0,0.0,1,0,Undifferentiated,B-territory,Deterministic,Det/Near-det,Gradient erased,4
HL,D1,ES,Mexico,PLAIN,LeChat Mistral Large,Mistral Large,D1_HL_Plain_ES,0.63,0.48,0.05,0.38,0.58,0.0,0,-3,Inverting,B-territory,Variable,Variable,Non-tracking contradiction,6
HL,D1,ES,Mexico,PLAIN,Gemini 2.0 Flash Lite,Gemini Flash,D1_HL_Plain_ES,0.63,1.0,0.0,1.0,1.0,0.0,1,2,Tracking,A-territory,Deterministic,Det/Near-det,Rigid tracking,2
HL,D1,ES,Mexico,CC,gpt4o,GPT-4o,D1_HL_CC_ES,0.63,0.0,0.0,0.0,0.0,0.0,1,0,Undifferentiated,B-territory,Deterministic,Det/Near-det,Gradient erased,4
HL,D1,ES,Mexico,CC,DeepSeek,DeepSeek R1,D1_HL_CC_ES,0.63,0.0,0.0,0.0,0.0,0.0,1,-2,Inverting,B-territory,Deterministic,Det/Near-det,Non-tracking rigidity,7
HL,D1,ES,Mexico,CC,LeChat Mistral Large,Mistral Large,D1_HL_CC_ES,0.63,0.41,0.05,0.31,0.51,0.0,0,-3,Inverting,B-territory,Variable,Variable,Non-tracking contradiction,6
HL,D1,ES,Mexico,CC,Gemini 2.0 Flash Lite,Gemini Flash,D1_HL_CC_ES,0.63,0.89,0.03,0.83,0.95,0.0,0,-3,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D1,ES,Mexico,ZSCOT,gpt4o,GPT-4o,D1_HL_ZSCOT_ES,0.63,0.25,0.04,0.17,0.33,0.0,0,-3,Inverting,B-territory,Variable,Variable,Non-tracking contradiction,6
HL,D1,ES,Mexico,ZSCOT,DeepSeek,DeepSeek R1,D1_HL_ZSCOT_ES,0.63,0.01,0.01,0.0,0.03,0.0,0,-3,Inverting,B-territory,Near-deterministic,Det/Near-det,Non-tracking rigidity,7
HL,D1,ES,Mexico,ZSCOT,LeChat Mistral Large,Mistral Large,D1_HL_ZSCOT_ES,0.63,0.36,0.05,0.27,0.45,0.0,0,-3,Inverting,B-territory,Variable,Variable,Non-tracking contradiction,6
HL,D1,ES,Mexico,ZSCOT,Gemini 2.0 Flash Lite,Gemini Flash,D1_HL_ZSCOT_ES,0.63,0.74,0.04,0.65,0.83,0.02,0,-3,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D1,ES,Mexico,FSCOT,gpt4o,GPT-4o,D1_HL_FSCOT_ES,0.63,0.0,0.0,0.0,0.0,0.0,1,-3,Inverting,B-territory,Deterministic,Det/Near-det,Non-tracking rigidity,7
HL,D1,ES,Mexico,FSCOT,DeepSeek,DeepSeek R1,D1_HL_FSCOT_ES,0.63,0.08,0.03,0.03,0.13,0.0,0,-1,Inverting,B-territory,Variable,Variable,Non-tracking contradiction,6
HL,D1,ES,Mexico,FSCOT,LeChat Mistral Large,Mistral Large,D1_HL_FSCOT_ES,0.63,0.1,0.03,0.04,0.16,0.0,0,1,Tracking,B-territory,Variable,Variable,Gradient-sensitive overshoot,3
HL,D1,ES,Mexico,FSCOT,Gemini 2.0 Flash Lite,Gemini Flash,D1_HL_FSCOT_ES,0.63,1.0,0.0,1.0,1.0,0.0,1,2,Tracking,A-territory,Deterministic,Det/Near-det,Rigid tracking,2
HL,D2,EN,USA,PLAIN,gpt4o,GPT-4o,D2_HL_Plain_EN,0.52,0.01,0.01,0.0,0.03,0.0,0,1,Tracking,B-territory,Near-deterministic,Det/Near-det,Gradient-sensitive overshoot,3
HL,D2,EN,USA,PLAIN,DeepSeek,DeepSeek R1,D2_HL_Plain_EN,0.52,0.0,0.0,0.0,0.0,0.0,1,-1,Inverting,B-territory,Deterministic,Det/Near-det,Non-tracking rigidity,7
HL,D2,EN,USA,PLAIN,LeChat Mistral Large,Mistral Large,D2_HL_Plain_EN,0.52,1.0,0.0,1.0,1.0,0.0,1,2,Tracking,A-territory,Deterministic,Det/Near-det,Rigid tracking,2
HL,D2,EN,USA,PLAIN,Gemini 2.0 Flash Lite,Gemini Flash,D2_HL_Plain_EN,0.52,0.9,0.03,0.84,0.96,0.0,0,-1,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D2,EN,USA,CC,gpt4o,GPT-4o,D2_HL_CC_EN,0.52,0.0,0.0,0.0,0.0,0.0,1,0,Undifferentiated,B-territory,Deterministic,Det/Near-det,Gradient erased,4
HL,D2,EN,USA,CC,DeepSeek,DeepSeek R1,D2_HL_CC_EN,0.52,0.0,0.0,0.0,0.0,0.0,1,-1,Inverting,B-territory,Deterministic,Det/Near-det,Non-tracking rigidity,7
HL,D2,EN,USA,CC,LeChat Mistral Large,Mistral Large,D2_HL_CC_EN,0.52,1.0,0.0,1.0,1.0,0.0,1,0,Undifferentiated,A-territory,Deterministic,Det/Near-det,Gradient erased,4
HL,D2,EN,USA,CC,Gemini 2.0 Flash Lite,Gemini Flash,D2_HL_CC_EN,0.52,0.97,0.02,0.94,1.0,0.0,0,1,Tracking,A-territory,Near-deterministic,Det/Near-det,Rigid tracking,2
HL,D2,EN,USA,ZSCOT,gpt4o,GPT-4o,D2_HL_ZSCOT_EN,0.52,0.03,0.02,0.0,0.06,0.0,0,-1,Inverting,B-territory,Near-deterministic,Det/Near-det,Non-tracking rigidity,7
HL,D2,EN,USA,ZSCOT,DeepSeek,DeepSeek R1,D2_HL_ZSCOT_EN,0.52,0.0,0.0,0.0,0.0,0.0,1,-2,Inverting,B-territory,Deterministic,Det/Near-det,Non-tracking rigidity,7
HL,D2,EN,USA,ZSCOT,LeChat Mistral Large,Mistral Large,D2_HL_ZSCOT_EN,0.52,0.59,0.05,0.49,0.69,0.16,0,1,Tracking,A-territory,Variable,Variable,Calibrated,1
HL,D2,EN,USA,ZSCOT,Gemini 2.0 Flash Lite,Gemini Flash,D2_HL_ZSCOT_EN,0.52,0.7,0.05,0.61,0.79,0.0,0,-1,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D2,EN,USA,FSCOT,gpt4o,GPT-4o,D2_HL_FSCOT_EN,0.52,0.7,0.05,0.61,0.79,0.0,0,1,Tracking,A-territory,Variable,Variable,Calibrated,1
HL,D2,EN,USA,FSCOT,DeepSeek,DeepSeek R1,D2_HL_FSCOT_EN,0.52,0.0,0.0,0.0,0.0,0.0,1,0,Undifferentiated,B-territory,Deterministic,Det/Near-det,Gradient erased,4
HL,D2,EN,USA,FSCOT,LeChat Mistral Large,Mistral Large,D2_HL_FSCOT_EN,0.52,0.33,0.05,0.24,0.42,0.0,0,3,Tracking,B-territory,Variable,Variable,Gradient-sensitive overshoot,3
HL,D2,EN,USA,FSCOT,Gemini 2.0 Flash Lite,Gemini Flash,D2_HL_FSCOT_EN,0.52,1.0,0.0,1.0,1.0,0.0,1,2,Tracking,A-territory,Deterministic,Det/Near-det,Rigid tracking,2
HL,D2,CN,China,PLAIN,gpt4o,GPT-4o,D2_HL_Plain_CN,0.43,1.0,0.0,1.0,1.0,0.0,1,-1,Inverting,A-territory,Deterministic,Det/Near-det,Gradient inverted,5
HL,D2,CN,China,PLAIN,DeepSeek,DeepSeek R1,D2_HL_Plain_CN,0.43,1.0,0.0,1.0,1.0,0.0,1,-1,Inverting,A-territory,Deterministic,Det/Near-det,Gradient inverted,5
HL,D2,CN,China,PLAIN,LeChat Mistral Large,Mistral Large,D2_HL_Plain_CN,0.43,0.99,0.01,0.97,1.0,0.0,0,2,Tracking,A-territory,Near-deterministic,Det/Near-det,Rigid tracking,2
HL,D2,CN,China,PLAIN,Gemini 2.0 Flash Lite,Gemini Flash,D2_HL_Plain_CN,0.43,0.5,0.05,0.4,0.6,0.16,0,-1,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D2,CN,China,CC,gpt4o,GPT-4o,D2_HL_CC_CN,0.43,1.0,0.0,1.0,1.0,0.0,1,-1,Inverting,A-territory,Deterministic,Det/Near-det,Gradient inverted,5
HL,D2,CN,China,CC,DeepSeek,DeepSeek R1,D2_HL_CC_CN,0.43,1.0,0.0,1.0,1.0,0.0,1,-1,Inverting,A-territory,Deterministic,Det/Near-det,Gradient inverted,5
HL,D2,CN,China,CC,LeChat Mistral Large,Mistral Large,D2_HL_CC_CN,0.43,1.0,0.0,1.0,1.0,0.0,1,0,Undifferentiated,A-territory,Deterministic,Det/Near-det,Gradient erased,4
HL,D2,CN,China,CC,Gemini 2.0 Flash Lite,Gemini Flash,D2_HL_CC_CN,0.43,0.95,0.02,0.91,0.99,0.0,0,1,Tracking,A-territory,Near-deterministic,Det/Near-det,Rigid tracking,2
HL,D2,CN,China,ZSCOT,gpt4o,GPT-4o,D2_HL_ZSCOT_CN,0.43,0.76,0.04,0.68,0.84,0.0,0,-1,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D2,CN,China,ZSCOT,DeepSeek,DeepSeek R1,D2_HL_ZSCOT_CN,0.43,0.11,0.03,0.05,0.17,0.0,0,-3,Inverting,B-territory,Variable,Variable,Non-tracking contradiction,6
HL,D2,CN,China,ZSCOT,LeChat Mistral Large,Mistral Large,D2_HL_ZSCOT_CN,0.43,0.71,0.05,0.62,0.8,0.0,0,-1,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D2,CN,China,ZSCOT,Gemini 2.0 Flash Lite,Gemini Flash,D2_HL_ZSCOT_CN,0.43,0.86,0.03,0.79,0.93,0.0,0,-1,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D2,CN,China,FSCOT,gpt4o,GPT-4o,D2_HL_FSCOT_CN,0.43,0.74,0.04,0.65,0.83,0.0,0,1,Tracking,A-territory,Variable,Variable,Calibrated,1
HL,D2,CN,China,FSCOT,DeepSeek,DeepSeek R1,D2_HL_FSCOT_CN,0.43,0.75,0.04,0.67,0.83,0.0,0,-1,Inverting,A-territory,Variable,Variable,Gradient inverted,5
HL,D2,CN,China,FSCOT,LeChat Mistral Large,Mistral Large,D2_HL_FSCOT_CN,0.43,0.23,0.04,0.15,0.31,0.0,0,3,Tracking,B-territory,Variable,Variable,Gradient-sensitive overshoot,3
HL,D2,CN,China,FSCOT,Gemini 2.0 Flash Lite,Gemini Flash,D2_HL_FSCOT_CN,0.43,0.63,0.05,0.54,0.72,0.0,0,3,Tracking,A-territory,Variable,Variable,Calibrated,1
HL,D2,JP,Japan,PLAIN,gpt4o,GPT-4o,D2_HL_Plain_JP,0.37,0.0,0.0,0.0,0.0,0.0,1,3,Tracking,B-territory,Deterministic,Det/Near-det,Gradient-sensitive overshoot,3
HL,D2,JP,Japan,PLAIN,DeepSeek,DeepSeek R1,D2_HL_Plain_JP,0.37,0.0,0.0,0.0,0.0,0.0,1,1,Tracking,B-territory,Deterministic,Det/Near-det,Gradient-sensitive overshoot,3
HL,D2,JP,Japan,PLAIN,LeChat Mistral Large,Mistral Large,D2_HL_Plain_JP,0.37,0.99,0.01,0.97,1.0,0.0,0,2,Tracking,A-territory,Near-deterministic,Det/Near-det,Rigid tracking,2
HL,D2,JP,Japan,PLAIN,Gemini 2.0 Flash Lite,Gemini Flash,D2_HL_Plain_JP,0.37,0.98,0.01,0.95,1.0,0.0,0,-3,Inverting,A-territory,Near-deterministic,Det/Near-det,Gradient inverted,5
HL,D2,JP,Japan,CC,gpt4o,GPT-4o,D2_HL_CC_JP,0.37,0.0,0.0,0.0,0.0,0.0,1,2,Tracking,B-territory,Deterministic,Det/Near-det,Gradient-sensitive overshoot,3
HL,D2,JP,Japan,CC,DeepSeek,DeepSeek R1,D2_HL_CC_JP,0.37,0.0,0.0,0.0,0.0,0.0,1,1,Tracking,B-territory,Deterministic,Det/Near-det,Gradient-sensitive overshoot,3
HL,D2,JP,Japan,CC,LeChat Mistral Large,Mistral Large,D2_HL_CC_JP,0.37,0.99,0.01,0.97,1.0,0.0,0,2,Tracking,A-territory,Near-deterministic,Det/Near-det,Rigid tracking,2
HL,D2,JP,Japan,CC,Gemini 2.0 Flash Lite,Gemini Flash,D2_HL_CC_JP,0.37,0.99,0.01,0.97,1.0,0.0,0,-1,Inverting,A-territory,Near-deterministic,Det/Near-det,Gradient inverted,5
HL,D2,JP,Japan,ZSCOT,gpt4o,GPT-4o,D2_HL_ZSCOT_JP,0.37,0.07,0.03,0.02,0.12,0.0,0,1,Tracking,B-territory,Variable,Variable,Gradient-sensitive overshoot,3
HL,D2,JP,Japan,ZSCOT,DeepSeek,DeepSeek R1,D2_HL_ZSCOT_JP,0.37,0.13,0.03,0.06,0.2,0.0,0,-3,Inverting,B-territory,Variable,Variable,Non-tracking contradiction,6
HL,D2,JP,Japan,ZSCOT,LeChat Mistral Large,Mistral Large,D2_HL_ZSCOT_JP,0.37,0.32,0.05,0.23,0.41,0.3,0,3,Tracking,B-territory,Variable,Variable,Gradient-sensitive overshoot,3
HL,D2,JP,Japan,ZSCOT,Gemini 2.0 Flash Lite,Gemini Flash,D2_HL_ZSCOT_JP,0.37,0.68,0.05,0.59,0.77,0.0,0,1,Tracking,A-territory,Variable,Variable,Calibrated,1
HL,D2,JP,Japan,FSCOT,gpt4o,GPT-4o,D2_HL_FSCOT_JP,0.37,0.0,0.0,0.0,0.0,0.0,1,3,Tracking,B-territory,Deterministic,Det/Near-det,Gradient-sensitive overshoot,3
HL,D2,JP,Japan,FSCOT,DeepSeek,DeepSeek R1,D2_HL_FSCOT_JP,0.37,0.0,0.0,0.0,0.0,0.0,1,2,Tracking,B-territory,Deterministic,Det/Near-det,Gradient-sensitive overshoot,3
HL,D2,JP,Japan,FSCOT,LeChat Mistral Large,Mistral Large,D2_HL_FSCOT_JP,0.37,0.02,0.01,0.0,0.05,0.0,0,3,Tracking,B-territory,Near-deterministic,Det/Near-det,Gradient-sensitive overshoot,3
HL,D2,JP,Japan,FSCOT,Gemini 2.0 Flash Lite,Gemini Flash,D2_HL_FSCOT_JP,0.37,0.0,0.0,0.0,0.0,0.0,1,3,Tracking,B-territory,Deterministic,Det/Near-det,Gradient-sensitive overshoot,3
HL,D2,ES,Mexico,PLAIN,gpt4o,GPT-4o,D2_HL_Plain_ES,0.63,0.04,0.02,0.0,0.08,0.0,0,1,Tracking,B-territory,Near-deterministic,Det/Near-det,Gradient-sensitive overshoot,3
HL,D2,ES,Mexico,PLAIN,DeepSeek,DeepSeek R1,D2_HL_Plain_ES,0.63,0.0,0.0,0.0,0.0,0.0,1,-1,Inverting,B-territory,Deterministic,Det/Near-det,Non-tracking rigidity,7
HL,D2,ES,Mexico,PLAIN,LeChat Mistral Large,Mistral Large,D2_HL_Plain_ES,0.63,1.0,0.0,1.0,1.0,0.0,1,2,Tracking,A-territory,Deterministic,Det/Near-det,Rigid tracking,2
HL,D2,ES,Mexico,PLAIN,Gemini 2.0 Flash Lite,Gemini Flash,D2_HL_Plain_ES,0.63,0.09,0.03,0.03,0.15,0.0,0,-3,Inverting,B-territory,Variable,Variable,Non-tracking contradiction,6
HL,D2,ES,Mexico,CC,gpt4o,GPT-4o,D2_HL_CC_ES,0.63,0.01,0.01,0.0,0.03,0.0,0,1,Tracking,B-territory,Near-deterministic,Det/Near-det,Gradient-sensitive overshoot,3
HL,D2,ES,Mexico,CC,DeepSeek,DeepSeek R1,D2_HL_CC_ES,0.63,0.0,0.0,0.0,0.0,0.0,1,-1,Inverting,B-territory,Deterministic,Det/Near-det,Non-tracking rigidity,7
HL,D2,ES,Mexico,CC,LeChat Mistral Large,Mistral Large,D2_HL_CC_ES,0.63,0.99,0.01,0.97,1.0,0.0,0,-2,Inverting,A-territory,Near-deterministic,Det/Near-det,Gradient inverted,5
HL,D2,ES,Mexico,CC,Gemini 2.0 Flash Lite,Gemini Flash,D2_HL_CC_ES,0.63,1.0,0.0,1.0,1.0,0.0,1,3,Tracking,A-territory,Deterministic,Det/Near-det,Rigid tracking,2
HL,D2,ES,Mexico,ZSCOT,gpt4o,GPT-4o,D2_HL_ZSCOT_ES,0.63,0.1,0.03,0.04,0.16,0.0,0,1,Tracking,B-territory,Variable,Variable,Gradient-sensitive overshoot,3
HL,D2,ES,Mexico,ZSCOT,DeepSeek,DeepSeek R1,D2_HL_ZSCOT_ES,0.63,0.0,0.0,0.0,0.0,0.0,1,-2,Inverting,B-territory,Deterministic,Det/Near-det,Non-tracking rigidity,7
