LLM,Dilemma,Domain,Prompting,Tau_original,Tau_adjusted,Tau_change,Tau_changed,FA_original,FA_adjusted
DeepSeek R1,YO,D2,ZSCOT,0.5,0.5,0.0,False,CN=0.95|EN=1.0|ES=1.0|JP=0.85,CN=0.85|EN=0.9|ES=0.9|JP=0.75
DeepSeek R1,YO,D3,CC,0.1667,0.1667,0.0,False,CN=0.0|EN=0.8|ES=0.0|JP=0.57,CN=0.0|EN=0.7|ES=0.0|JP=0.47
DeepSeek R1,YO,D3,FSCOT,0.3333,0.3333,0.0,False,CN=0.0|EN=1.0|ES=0.35|JP=0.96,CN=0.0|EN=0.9|ES=0.25|JP=0.86
DeepSeek R1,YO,D3,PLAIN,-0.6667,-0.6667,0.0,False,CN=0.75|EN=0.43|ES=0.0|JP=0.83,CN=0.65|EN=0.33|ES=0.0|JP=0.73
DeepSeek R1,YO,D3,ZSCOT,0.3333,0.3333,0.0,False,CN=0.55|EN=0.15|ES=0.78|JP=0.71,CN=0.45|EN=0.05|ES=0.68|JP=0.61
Gemini Flash,HL,D1,CC,-0.5,-0.5,0.0,False,CN=1.0|EN=1.0|ES=0.89|JP=1.0,CN=0.9|EN=0.9|ES=0.79|JP=0.9
Gemini Flash,HL,D1,FSCOT,0.8333,0.8333,0.0,False,CN=0.65|EN=1.0|ES=1.0|JP=0.0,CN=0.55|EN=0.9|ES=0.9|JP=0.0
Gemini Flash,HL,D1,PLAIN,0.1667,0.1667,0.0,False,CN=0.97|EN=0.99|ES=1.0|JP=1.0,CN=0.87|EN=0.89|ES=0.9|JP=0.9
Gemini Flash,HL,D1,ZSCOT,-1.0,-1.0,0.0,False,CN=0.98|EN=0.9|ES=0.74|JP=0.99,CN=0.88|EN=0.8|ES=0.64|JP=0.89
Gemini Flash,HL,D2,CC,0.3333,0.3333,0.0,False,CN=0.95|EN=0.97|ES=1.0|JP=0.99,CN=0.85|EN=0.87|ES=0.9|JP=0.89
Gemini Flash,HL,D2,FSCOT,0.8333,0.8333,0.0,False,CN=0.63|EN=1.0|ES=1.0|JP=0.0,CN=0.53|EN=0.9|ES=0.9|JP=0.0
Gemini Flash,HL,D2,PLAIN,-0.6667,-0.6667,0.0,False,CN=0.5|EN=0.9|ES=0.09|JP=0.98,CN=0.4|EN=0.8|ES=0.0|JP=0.88
Gemini Flash,HL,D2,ZSCOT,-0.3333,-0.3333,0.0,False,CN=0.86|EN=0.7|ES=0.41|JP=0.68,CN=0.76|EN=0.6|ES=0.31|JP=0.58
Gemini Flash,HL,D3,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
Gemini Flash,HL,D3,FSCOT,0.6667,0.6667,0.0,False,CN=0.98|EN=0.48|ES=1.0|JP=0.07,CN=0.88|EN=0.38|ES=0.9|JP=0.0
Gemini Flash,HL,D3,PLAIN,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
Gemini Flash,HL,D3,ZSCOT,-0.6667,-0.6667,0.0,False,CN=0.99|EN=0.87|ES=0.93|JP=1.0,CN=0.89|EN=0.77|ES=0.83|JP=0.9
Gemini Flash,MF,D1,CC,0.8333,0.8333,0.0,False,CN=0.95|EN=1.0|ES=1.0|JP=0.82,CN=0.85|EN=0.9|ES=0.9|JP=0.72
Gemini Flash,MF,D1,FSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
Gemini Flash,MF,D1,PLAIN,0.8333,0.8333,0.0,False,CN=0.98|EN=1.0|ES=1.0|JP=0.71,CN=0.88|EN=0.9|ES=0.9|JP=0.61
Gemini Flash,MF,D1,ZSCOT,0.6667,0.6667,0.0,False,CN=0.26|EN=0.83|ES=0.8|JP=0.38,CN=0.16|EN=0.73|ES=0.7|JP=0.28
Gemini Flash,MF,D2,CC,0.5,0.5,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=0.88,CN=0.9|EN=0.9|ES=0.9|JP=0.78
Gemini Flash,MF,D2,FSCOT,0.5,0.5,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=0.0,CN=0.9|EN=0.9|ES=0.9|JP=0.0
Gemini Flash,MF,D2,PLAIN,0.5,0.5,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=0.57,CN=0.9|EN=0.9|ES=0.9|JP=0.47
Gemini Flash,MF,D2,ZSCOT,0.1667,0.1667,0.0,False,CN=1.0|EN=0.99|ES=1.0|JP=0.79,CN=0.9|EN=0.89|ES=0.9|JP=0.69
Gemini Flash,MF,D3,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
Gemini Flash,MF,D3,FSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
Gemini Flash,MF,D3,PLAIN,0.5,0.5,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=0.98,CN=0.9|EN=0.9|ES=0.9|JP=0.88
Gemini Flash,MF,D3,ZSCOT,0.5,0.5,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=0.99,CN=0.9|EN=0.9|ES=0.9|JP=0.89
Gemini Flash,YO,D1,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
Gemini Flash,YO,D1,FSCOT,0.5,0.5,0.0,False,CN=0.96|EN=1.0|ES=1.0|JP=1.0,CN=0.86|EN=0.9|ES=0.9|JP=0.9
Gemini Flash,YO,D1,PLAIN,-0.1667,-0.1667,0.0,False,CN=1.0|EN=0.94|ES=1.0|JP=1.0,CN=0.9|EN=0.84|ES=0.9|JP=0.9
Gemini Flash,YO,D1,ZSCOT,-0.3333,-0.3333,0.0,False,CN=0.87|EN=0.34|ES=0.86|JP=0.88,CN=0.77|EN=0.24|ES=0.76|JP=0.78
Gemini Flash,YO,D2,CC,-0.3333,-0.3333,0.0,False,CN=0.32|EN=0.53|ES=0.15|JP=0.96,CN=0.22|EN=0.43|ES=0.05|JP=0.86
Gemini Flash,YO,D2,FSCOT,0.6667,0.6667,0.0,False,CN=0.0|EN=0.8|ES=0.33|JP=0.16,CN=0.0|EN=0.7|ES=0.23|JP=0.06
Gemini Flash,YO,D2,PLAIN,-0.6667,-0.6667,0.0,False,CN=0.77|EN=0.2|ES=0.08|JP=0.96,CN=0.67|EN=0.1|ES=0.0|JP=0.86
Gemini Flash,YO,D2,ZSCOT,-0.3333,-0.3333,0.0,False,CN=0.92|EN=0.95|ES=0.87|JP=0.99,CN=0.82|EN=0.85|ES=0.77|JP=0.89
Gemini Flash,YO,D3,CC,-0.1667,-0.1667,0.0,False,CN=0.0|EN=0.0|ES=0.0|JP=0.31,CN=0.0|EN=0.0|ES=0.0|JP=0.21
Gemini Flash,YO,D3,FSCOT,-0.1667,-0.1667,0.0,False,CN=0.0|EN=0.0|ES=0.0|JP=1.0,CN=0.0|EN=0.0|ES=0.0|JP=0.9
Gemini Flash,YO,D3,PLAIN,-0.5,-0.1667,0.3333,True,CN=0.06|EN=0.0|ES=0.0|JP=0.47,CN=0.0|EN=0.0|ES=0.0|JP=0.37
Gemini Flash,YO,D3,ZSCOT,-0.6667,-0.6667,0.0,False,CN=0.22|EN=0.15|ES=0.02|JP=0.4,CN=0.12|EN=0.05|ES=0.0|JP=0.3
Mistral Large,HL,D1,CC,-0.3333,-0.3333,0.0,False,CN=0.72|EN=1.0|ES=0.41|JP=0.96,CN=0.62|EN=0.9|ES=0.31|JP=0.86
Mistral Large,HL,D1,FSCOT,0.5,0.1667,-0.3333,True,CN=0.0|EN=0.79|ES=0.1|JP=0.0,CN=0.0|EN=0.69|ES=0.0|JP=0.0
Mistral Large,HL,D1,PLAIN,-0.8333,-0.8333,0.0,False,CN=0.99|EN=0.87|ES=0.48|JP=0.99,CN=0.89|EN=0.77|ES=0.38|JP=0.89
Mistral Large,HL,D1,ZSCOT,-1.0,-1.0,0.0,False,CN=0.82|EN=0.5|ES=0.36|JP=0.84,CN=0.72|EN=0.4|ES=0.26|JP=0.74
Mistral Large,HL,D2,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=0.99|JP=0.99,CN=0.9|EN=0.9|ES=0.89|JP=0.89
Mistral Large,HL,D2,FSCOT,1.0,1.0,0.0,False,CN=0.23|EN=0.33|ES=0.59|JP=0.02,CN=0.13|EN=0.23|ES=0.49|JP=0.0
Mistral Large,HL,D2,PLAIN,0.6667,0.6667,0.0,False,CN=0.99|EN=1.0|ES=1.0|JP=0.99,CN=0.89|EN=0.9|ES=0.9|JP=0.89
Mistral Large,HL,D2,ZSCOT,0.3333,0.3333,0.0,False,CN=0.71|EN=0.59|ES=0.69|JP=0.32,CN=0.61|EN=0.49|ES=0.59|JP=0.22
Mistral Large,HL,D3,CC,0.5,0.5,0.0,False,CN=1.0|EN=0.39|ES=1.0|JP=0.0,CN=0.9|EN=0.29|ES=0.9|JP=0.0
Mistral Large,HL,D3,FSCOT,1.0,1.0,0.0,False,CN=0.13|EN=0.3|ES=1.0|JP=0.0,CN=0.03|EN=0.2|ES=0.9|JP=0.0
Mistral Large,HL,D3,PLAIN,0.6667,0.6667,0.0,False,CN=0.99|EN=0.87|ES=1.0|JP=0.11,CN=0.89|EN=0.77|ES=0.9|JP=0.01
Mistral Large,HL,D3,ZSCOT,0.5,0.5,0.0,False,CN=1.0|EN=0.92|ES=1.0|JP=0.74,CN=0.9|EN=0.82|ES=0.9|JP=0.64
Mistral Large,MF,D1,CC,1.0,1.0,0.0,False,CN=0.22|EN=0.72|ES=0.42|JP=0.01,CN=0.12|EN=0.62|ES=0.32|JP=0.0
Mistral Large,MF,D1,FSCOT,0.1667,-0.1667,-0.3334,True,CN=0.48|EN=0.03|ES=0.03|JP=0.0,CN=0.38|EN=0.0|ES=0.0|JP=0.0
Mistral Large,MF,D1,PLAIN,1.0,1.0,0.0,False,CN=0.12|EN=0.58|ES=0.15|JP=0.03,CN=0.02|EN=0.48|ES=0.05|JP=0.0
Mistral Large,MF,D1,ZSCOT,0.3333,0.3333,0.0,False,CN=0.57|EN=0.47|ES=0.32|JP=0.02,CN=0.47|EN=0.37|ES=0.22|JP=0.0
Mistral Large,MF,D2,CC,-0.5,-0.5,0.0,False,CN=1.0|EN=0.83|ES=1.0|JP=1.0,CN=0.9|EN=0.73|ES=0.9|JP=0.9
Mistral Large,MF,D2,FSCOT,0.1667,0.1667,0.0,False,CN=0.98|EN=1.0|ES=1.0|JP=1.0,CN=0.88|EN=0.9|ES=0.9|JP=0.9
Mistral Large,MF,D2,PLAIN,-0.1667,-0.1667,0.0,False,CN=1.0|EN=0.63|ES=1.0|JP=0.97,CN=0.9|EN=0.53|ES=0.9|JP=0.87
Mistral Large,MF,D2,ZSCOT,-0.1667,-0.1667,0.0,False,CN=0.99|EN=0.9|ES=1.0|JP=0.99,CN=0.89|EN=0.8|ES=0.9|JP=0.89
Mistral Large,MF,D3,CC,0.5,0.5,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=0.99,CN=0.9|EN=0.9|ES=0.9|JP=0.89
Mistral Large,MF,D3,FSCOT,0.0,0.0,0.0,False,CN=1.0|EN=0.98|ES=0.99|JP=0.45,CN=0.9|EN=0.88|ES=0.89|JP=0.35
Mistral Large,MF,D3,PLAIN,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
Mistral Large,MF,D3,ZSCOT,-0.5,-0.5,0.0,False,CN=1.0|EN=0.58|ES=1.0|JP=1.0,CN=0.9|EN=0.48|ES=0.9|JP=0.9
Mistral Large,YO,D1,CC,0.1667,0.1667,0.0,False,CN=0.98|EN=1.0|ES=0.98|JP=0.97,CN=0.88|EN=0.9|ES=0.88|JP=0.87
Mistral Large,YO,D1,FSCOT,0.3333,0.3333,0.0,False,CN=0.11|EN=0.97|ES=0.99|JP=1.0,CN=0.01|EN=0.87|ES=0.89|JP=0.9
Mistral Large,YO,D1,PLAIN,0.1667,0.1667,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=0.99,CN=0.9|EN=0.9|ES=0.9|JP=0.89
Mistral Large,YO,D1,ZSCOT,0.0,0.0,0.0,False,CN=0.84|EN=0.51|ES=0.9|JP=0.95,CN=0.74|EN=0.41|ES=0.8|JP=0.85
Mistral Large,YO,D2,CC,1.0,0.8333,-0.1667,True,CN=0.01|EN=0.12|ES=0.38|JP=0.03,CN=0.0|EN=0.02|ES=0.28|JP=0.0
Mistral Large,YO,D2,FSCOT,0.8333,0.8333,0.0,False,CN=0.0|EN=0.47|ES=1.0|JP=0.0,CN=0.0|EN=0.37|ES=0.9|JP=0.0
Mistral Large,YO,D2,PLAIN,0.6667,0.5,-0.1667,True,CN=0.05|EN=0.07|ES=0.67|JP=0.03,CN=0.0|EN=0.0|ES=0.57|JP=0.0
Mistral Large,YO,D2,ZSCOT,0.3333,0.3333,0.0,False,CN=0.35|EN=0.73|ES=0.45|JP=0.08,CN=0.25|EN=0.63|ES=0.35|JP=0.0
Mistral Large,YO,D3,CC,1.0,1.0,0.0,False,CN=0.0|EN=0.75|ES=0.82|JP=0.13,CN=0.0|EN=0.65|ES=0.72|JP=0.03
Mistral Large,YO,D3,FSCOT,1.0,1.0,0.0,False,CN=0.0|EN=0.37|ES=0.82|JP=0.2,CN=0.0|EN=0.27|ES=0.72|JP=0.1
Mistral Large,YO,D3,PLAIN,0.6667,0.6667,0.0,False,CN=0.23|EN=1.0|ES=0.93|JP=0.45,CN=0.13|EN=0.9|ES=0.83|JP=0.35
Mistral Large,YO,D3,ZSCOT,0.3333,0.3333,0.0,False,CN=0.11|EN=0.23|ES=0.28|JP=0.31,CN=0.01|EN=0.13|ES=0.18|JP=0.21
GPT-4o,HL,D1,CC,0.0,0.0,0.0,False,CN=0.0|EN=0.0|ES=0.0|JP=0.0,CN=0.0|EN=0.0|ES=0.0|JP=0.0
GPT-4o,HL,D1,FSCOT,-0.3333,-0.3333,0.0,False,CN=0.93|EN=0.75|ES=0.0|JP=0.26,CN=0.83|EN=0.65|ES=0.0|JP=0.16
GPT-4o,HL,D1,PLAIN,0.0,0.0,0.0,False,CN=0.0|EN=0.0|ES=0.0|JP=0.0,CN=0.0|EN=0.0|ES=0.0|JP=0.0
GPT-4o,HL,D1,ZSCOT,-0.6667,-0.6667,0.0,False,CN=0.99|EN=0.84|ES=0.25|JP=0.85,CN=0.89|EN=0.74|ES=0.15|JP=0.75
GPT-4o,HL,D2,CC,0.1667,-0.1667,-0.3334,True,CN=1.0|EN=0.0|ES=0.01|JP=0.0,CN=0.9|EN=0.0|ES=0.0|JP=0.0
GPT-4o,HL,D2,FSCOT,0.6667,0.6667,0.0,False,CN=0.74|EN=0.7|ES=0.82|JP=0.0,CN=0.64|EN=0.6|ES=0.72|JP=0.0
GPT-4o,HL,D2,PLAIN,0.3333,-0.1667,-0.5,True,CN=1.0|EN=0.01|ES=0.04|JP=0.0,CN=0.9|EN=0.0|ES=0.0|JP=0.0
GPT-4o,HL,D2,ZSCOT,0.0,-0.1667,-0.1667,True,CN=0.76|EN=0.03|ES=0.1|JP=0.07,CN=0.66|EN=0.0|ES=0.0|JP=0.0
GPT-4o,HL,D3,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
GPT-4o,HL,D3,FSCOT,0.6667,0.6667,0.0,False,CN=0.99|EN=1.0|ES=1.0|JP=0.99,CN=0.89|EN=0.9|ES=0.9|JP=0.89
GPT-4o,HL,D3,PLAIN,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
GPT-4o,HL,D3,ZSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
GPT-4o,MF,D1,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
GPT-4o,MF,D1,FSCOT,-0.5,-0.5,0.0,False,CN=1.0|EN=0.96|ES=0.75|JP=1.0,CN=0.9|EN=0.86|ES=0.65|JP=0.9
GPT-4o,MF,D1,PLAIN,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
GPT-4o,MF,D1,ZSCOT,1.0,1.0,0.0,False,CN=0.68|EN=0.94|ES=0.79|JP=0.66,CN=0.58|EN=0.84|ES=0.69|JP=0.56
GPT-4o,MF,D2,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
GPT-4o,MF,D2,FSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
GPT-4o,MF,D2,PLAIN,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
GPT-4o,MF,D2,ZSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
GPT-4o,MF,D3,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
GPT-4o,MF,D3,FSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
GPT-4o,MF,D3,PLAIN,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
GPT-4o,MF,D3,ZSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
GPT-4o,YO,D1,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
GPT-4o,YO,D1,FSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
GPT-4o,YO,D1,PLAIN,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.9|EN=0.9|ES=0.9|JP=0.9
GPT-4o,YO,D1,ZSCOT,-0.3333,-0.3333,0.0,False,CN=0.98|EN=0.86|ES=0.96|JP=0.99,CN=0.88|EN=0.76|ES=0.86|JP=0.89
GPT-4o,YO,D2,CC,-0.5,-0.5,0.0,False,CN=1.0|EN=1.0|ES=0.0|JP=1.0,CN=0.9|EN=0.9|ES=0.0|JP=0.9
GPT-4o,YO,D2,FSCOT,0.3333,0.3333,0.0,False,CN=0.02|EN=1.0|ES=0.87|JP=0.99,CN=0.0|EN=0.9|ES=0.77|JP=0.89
GPT-4o,YO,D2,PLAIN,-0.1667,-0.1667,0.0,False,CN=0.29|EN=1.0|ES=0.16|JP=1.0,CN=0.19|EN=0.9|ES=0.06|JP=0.9
GPT-4o,YO,D2,ZSCOT,0.0,0.0,0.0,False,CN=0.45|EN=0.81|ES=0.34|JP=0.78,CN=0.35|EN=0.71|ES=0.24|JP=0.68
GPT-4o,YO,D3,CC,-0.6667,-0.5,0.1667,True,CN=0.17|EN=0.0|ES=0.01|JP=0.03,CN=0.07|EN=0.0|ES=0.0|JP=0.0
GPT-4o,YO,D3,FSCOT,-0.3333,-0.3333,0.0,False,CN=0.74|EN=0.01|ES=0.33|JP=0.9,CN=0.64|EN=0.0|ES=0.23|JP=0.8
GPT-4o,YO,D3,PLAIN,0.3333,0.5,0.1667,True,CN=0.06|EN=0.0|ES=0.61|JP=0.21,CN=0.0|EN=0.0|ES=0.51|JP=0.11
GPT-4o,YO,D3,ZSCOT,0.3333,0.1667,-0.1666,True,CN=0.2|EN=0.1|ES=0.28|JP=0.09,CN=0.1|EN=0.0|ES=0.18|JP=0.0
