LLM,Dilemma,Domain,Prompting,Tau_original,Tau_adjusted,Tau_change,Tau_changed,FA_original,FA_adjusted
Gemini Flash,HL,D1,ZSCOT,-1.0,-1.0,0.0,False,CN=0.98|EN=0.9|ES=0.74|JP=0.99,CN=0.93|EN=0.85|ES=0.69|JP=0.94
Gemini Flash,HL,D2,CC,0.3333,0.3333,0.0,False,CN=0.95|EN=0.97|ES=1.0|JP=0.99,CN=0.9|EN=0.92|ES=0.95|JP=0.94
Gemini Flash,HL,D2,FSCOT,0.8333,0.8333,0.0,False,CN=0.63|EN=1.0|ES=1.0|JP=0.0,CN=0.58|EN=0.95|ES=0.95|JP=0.0
Gemini Flash,HL,D2,PLAIN,-0.6667,-0.6667,0.0,False,CN=0.5|EN=0.9|ES=0.09|JP=0.98,CN=0.45|EN=0.85|ES=0.04|JP=0.93
Gemini Flash,HL,D2,ZSCOT,-0.3333,-0.3333,0.0,False,CN=0.86|EN=0.7|ES=0.41|JP=0.68,CN=0.81|EN=0.65|ES=0.36|JP=0.63
Gemini Flash,HL,D3,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
Gemini Flash,HL,D3,FSCOT,0.6667,0.6667,0.0,False,CN=0.98|EN=0.48|ES=1.0|JP=0.07,CN=0.93|EN=0.43|ES=0.95|JP=0.02
Gemini Flash,HL,D3,PLAIN,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
Gemini Flash,HL,D3,ZSCOT,-0.6667,-0.6667,0.0,False,CN=0.99|EN=0.87|ES=0.93|JP=1.0,CN=0.94|EN=0.82|ES=0.88|JP=0.95
Gemini Flash,MF,D1,CC,0.8333,0.8333,0.0,False,CN=0.95|EN=1.0|ES=1.0|JP=0.82,CN=0.9|EN=0.95|ES=0.95|JP=0.77
Gemini Flash,MF,D1,FSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
Gemini Flash,MF,D1,PLAIN,0.8333,0.8333,0.0,False,CN=0.98|EN=1.0|ES=1.0|JP=0.71,CN=0.93|EN=0.95|ES=0.95|JP=0.66
Gemini Flash,MF,D1,ZSCOT,0.6667,0.6667,0.0,False,CN=0.26|EN=0.83|ES=0.8|JP=0.38,CN=0.21|EN=0.78|ES=0.75|JP=0.33
Gemini Flash,MF,D2,CC,0.5,0.5,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=0.88,CN=0.95|EN=0.95|ES=0.95|JP=0.83
Gemini Flash,MF,D2,FSCOT,0.5,0.5,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=0.0,CN=0.95|EN=0.95|ES=0.95|JP=0.0
Gemini Flash,MF,D2,PLAIN,0.5,0.5,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=0.57,CN=0.95|EN=0.95|ES=0.95|JP=0.52
Gemini Flash,MF,D2,ZSCOT,0.1667,0.1667,0.0,False,CN=1.0|EN=0.99|ES=1.0|JP=0.79,CN=0.95|EN=0.94|ES=0.95|JP=0.74
Gemini Flash,MF,D3,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
Gemini Flash,MF,D3,FSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
Gemini Flash,MF,D3,PLAIN,0.5,0.5,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=0.98,CN=0.95|EN=0.95|ES=0.95|JP=0.93
Gemini Flash,MF,D3,ZSCOT,0.5,0.5,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=0.99,CN=0.95|EN=0.95|ES=0.95|JP=0.94
Gemini Flash,YO,D1,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
Gemini Flash,YO,D1,FSCOT,0.5,0.5,0.0,False,CN=0.96|EN=1.0|ES=1.0|JP=1.0,CN=0.91|EN=0.95|ES=0.95|JP=0.95
Gemini Flash,YO,D1,PLAIN,-0.1667,-0.1667,0.0,False,CN=1.0|EN=0.94|ES=1.0|JP=1.0,CN=0.95|EN=0.89|ES=0.95|JP=0.95
Gemini Flash,YO,D1,ZSCOT,-0.3333,-0.3333,0.0,False,CN=0.87|EN=0.34|ES=0.86|JP=0.88,CN=0.82|EN=0.29|ES=0.81|JP=0.83
Gemini Flash,YO,D2,CC,-0.3333,-0.3333,0.0,False,CN=0.32|EN=0.53|ES=0.15|JP=0.96,CN=0.27|EN=0.48|ES=0.1|JP=0.91
Gemini Flash,YO,D2,FSCOT,0.6667,0.6667,0.0,False,CN=0.0|EN=0.8|ES=0.33|JP=0.16,CN=0.0|EN=0.75|ES=0.28|JP=0.11
Gemini Flash,YO,D2,PLAIN,-0.6667,-0.6667,0.0,False,CN=0.77|EN=0.2|ES=0.08|JP=0.96,CN=0.72|EN=0.15|ES=0.03|JP=0.91
Gemini Flash,YO,D2,ZSCOT,-0.3333,-0.3333,0.0,False,CN=0.92|EN=0.95|ES=0.87|JP=0.99,CN=0.87|EN=0.9|ES=0.82|JP=0.94
Gemini Flash,YO,D3,CC,-0.1667,-0.1667,0.0,False,CN=0.0|EN=0.0|ES=0.0|JP=0.31,CN=0.0|EN=0.0|ES=0.0|JP=0.26
Gemini Flash,YO,D3,FSCOT,-0.1667,-0.1667,0.0,False,CN=0.0|EN=0.0|ES=0.0|JP=1.0,CN=0.0|EN=0.0|ES=0.0|JP=0.95
Gemini Flash,YO,D3,PLAIN,-0.5,-0.5,0.0,False,CN=0.06|EN=0.0|ES=0.0|JP=0.47,CN=0.01|EN=0.0|ES=0.0|JP=0.42
Gemini Flash,YO,D3,ZSCOT,-0.6667,-0.6667,0.0,False,CN=0.22|EN=0.15|ES=0.02|JP=0.4,CN=0.17|EN=0.1|ES=0.0|JP=0.35
Mistral Large,HL,D1,CC,-0.3333,-0.3333,0.0,False,CN=0.72|EN=1.0|ES=0.41|JP=0.96,CN=0.67|EN=0.95|ES=0.36|JP=0.91
Mistral Large,HL,D1,FSCOT,0.5,0.5,0.0,False,CN=0.0|EN=0.79|ES=0.1|JP=0.0,CN=0.0|EN=0.74|ES=0.05|JP=0.0
Mistral Large,HL,D1,PLAIN,-0.8333,-0.8333,0.0,False,CN=0.99|EN=0.87|ES=0.48|JP=0.99,CN=0.94|EN=0.82|ES=0.43|JP=0.94
Mistral Large,HL,D1,ZSCOT,-1.0,-1.0,0.0,False,CN=0.82|EN=0.5|ES=0.36|JP=0.84,CN=0.77|EN=0.45|ES=0.31|JP=0.79
Mistral Large,HL,D2,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=0.99|JP=0.99,CN=0.95|EN=0.95|ES=0.94|JP=0.94
Mistral Large,HL,D2,FSCOT,1.0,1.0,0.0,False,CN=0.23|EN=0.33|ES=0.59|JP=0.02,CN=0.18|EN=0.28|ES=0.54|JP=0.0
Mistral Large,HL,D2,PLAIN,0.6667,0.6667,0.0,False,CN=0.99|EN=1.0|ES=1.0|JP=0.99,CN=0.94|EN=0.95|ES=0.95|JP=0.94
Mistral Large,HL,D2,ZSCOT,0.3333,0.3333,0.0,False,CN=0.71|EN=0.59|ES=0.69|JP=0.32,CN=0.66|EN=0.54|ES=0.64|JP=0.27
Mistral Large,HL,D3,CC,0.5,0.5,0.0,False,CN=1.0|EN=0.39|ES=1.0|JP=0.0,CN=0.95|EN=0.34|ES=0.95|JP=0.0
Mistral Large,HL,D3,FSCOT,1.0,1.0,0.0,False,CN=0.13|EN=0.3|ES=1.0|JP=0.0,CN=0.08|EN=0.25|ES=0.95|JP=0.0
Mistral Large,HL,D3,PLAIN,0.6667,0.6667,0.0,False,CN=0.99|EN=0.87|ES=1.0|JP=0.11,CN=0.94|EN=0.82|ES=0.95|JP=0.06
Mistral Large,HL,D3,ZSCOT,0.5,0.5,0.0,False,CN=1.0|EN=0.92|ES=1.0|JP=0.74,CN=0.95|EN=0.87|ES=0.95|JP=0.69
Mistral Large,MF,D1,CC,1.0,1.0,0.0,False,CN=0.22|EN=0.72|ES=0.42|JP=0.01,CN=0.17|EN=0.67|ES=0.37|JP=0.0
Mistral Large,MF,D1,FSCOT,0.1667,-0.1667,-0.3334,True,CN=0.48|EN=0.03|ES=0.03|JP=0.0,CN=0.43|EN=0.0|ES=0.0|JP=0.0
Mistral Large,MF,D1,PLAIN,1.0,1.0,0.0,False,CN=0.12|EN=0.58|ES=0.15|JP=0.03,CN=0.07|EN=0.53|ES=0.1|JP=0.0
Mistral Large,MF,D1,ZSCOT,0.3333,0.3333,0.0,False,CN=0.57|EN=0.47|ES=0.32|JP=0.02,CN=0.52|EN=0.42|ES=0.27|JP=0.0
Mistral Large,MF,D2,CC,-0.5,-0.5,0.0,False,CN=1.0|EN=0.83|ES=1.0|JP=1.0,CN=0.95|EN=0.78|ES=0.95|JP=0.95
Mistral Large,MF,D2,FSCOT,0.1667,0.1667,0.0,False,CN=0.98|EN=1.0|ES=1.0|JP=1.0,CN=0.93|EN=0.95|ES=0.95|JP=0.95
Mistral Large,MF,D2,PLAIN,-0.1667,-0.1667,0.0,False,CN=1.0|EN=0.63|ES=1.0|JP=0.97,CN=0.95|EN=0.58|ES=0.95|JP=0.92
Mistral Large,MF,D2,ZSCOT,-0.1667,-0.1667,0.0,False,CN=0.99|EN=0.9|ES=1.0|JP=0.99,CN=0.94|EN=0.85|ES=0.95|JP=0.94
Mistral Large,MF,D3,CC,0.5,0.5,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=0.99,CN=0.95|EN=0.95|ES=0.95|JP=0.94
Mistral Large,MF,D3,FSCOT,0.0,0.0,0.0,False,CN=1.0|EN=0.98|ES=0.99|JP=0.45,CN=0.95|EN=0.93|ES=0.94|JP=0.4
Mistral Large,MF,D3,PLAIN,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
Mistral Large,MF,D3,ZSCOT,-0.5,-0.5,0.0,False,CN=1.0|EN=0.58|ES=1.0|JP=1.0,CN=0.95|EN=0.53|ES=0.95|JP=0.95
Mistral Large,YO,D1,CC,0.1667,0.1667,0.0,False,CN=0.98|EN=1.0|ES=0.98|JP=0.97,CN=0.93|EN=0.95|ES=0.93|JP=0.92
Mistral Large,YO,D1,FSCOT,0.3333,0.3333,0.0,False,CN=0.11|EN=0.97|ES=0.99|JP=1.0,CN=0.06|EN=0.92|ES=0.94|JP=0.95
Mistral Large,YO,D1,PLAIN,0.1667,0.1667,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=0.99,CN=0.95|EN=0.95|ES=0.95|JP=0.94
Mistral Large,YO,D1,ZSCOT,0.0,0.0,0.0,False,CN=0.84|EN=0.51|ES=0.9|JP=0.95,CN=0.79|EN=0.46|ES=0.85|JP=0.9
Mistral Large,YO,D2,CC,1.0,0.8333,-0.1667,True,CN=0.01|EN=0.12|ES=0.38|JP=0.03,CN=0.0|EN=0.07|ES=0.33|JP=0.0
Mistral Large,YO,D2,FSCOT,0.8333,0.8333,0.0,False,CN=0.0|EN=0.47|ES=1.0|JP=0.0,CN=0.0|EN=0.42|ES=0.95|JP=0.0
Mistral Large,YO,D2,PLAIN,0.6667,0.8333,0.1666,True,CN=0.05|EN=0.07|ES=0.67|JP=0.03,CN=0.0|EN=0.02|ES=0.62|JP=0.0
Mistral Large,YO,D2,ZSCOT,0.3333,0.3333,0.0,False,CN=0.35|EN=0.73|ES=0.45|JP=0.08,CN=0.3|EN=0.68|ES=0.4|JP=0.03
Mistral Large,YO,D3,CC,1.0,1.0,0.0,False,CN=0.0|EN=0.75|ES=0.82|JP=0.13,CN=0.0|EN=0.7|ES=0.77|JP=0.08
Mistral Large,YO,D3,FSCOT,1.0,1.0,0.0,False,CN=0.0|EN=0.37|ES=0.82|JP=0.2,CN=0.0|EN=0.32|ES=0.77|JP=0.15
Mistral Large,YO,D3,PLAIN,0.6667,0.6667,0.0,False,CN=0.23|EN=1.0|ES=0.93|JP=0.45,CN=0.18|EN=0.95|ES=0.88|JP=0.4
Mistral Large,YO,D3,ZSCOT,0.3333,0.3333,0.0,False,CN=0.11|EN=0.23|ES=0.28|JP=0.31,CN=0.06|EN=0.18|ES=0.23|JP=0.26
GPT-4o,HL,D1,CC,0.0,0.0,0.0,False,CN=0.0|EN=0.0|ES=0.0|JP=0.0,CN=0.0|EN=0.0|ES=0.0|JP=0.0
GPT-4o,HL,D1,FSCOT,-0.3333,-0.3333,0.0,False,CN=0.93|EN=0.75|ES=0.0|JP=0.26,CN=0.88|EN=0.7|ES=0.0|JP=0.21
GPT-4o,HL,D1,PLAIN,0.0,0.0,0.0,False,CN=0.0|EN=0.0|ES=0.0|JP=0.0,CN=0.0|EN=0.0|ES=0.0|JP=0.0
GPT-4o,HL,D1,ZSCOT,-0.6667,-0.6667,0.0,False,CN=0.99|EN=0.84|ES=0.25|JP=0.85,CN=0.94|EN=0.79|ES=0.2|JP=0.8
GPT-4o,HL,D2,CC,0.1667,-0.1667,-0.3334,True,CN=1.0|EN=0.0|ES=0.01|JP=0.0,CN=0.95|EN=0.0|ES=0.0|JP=0.0
GPT-4o,HL,D2,FSCOT,0.6667,0.6667,0.0,False,CN=0.74|EN=0.7|ES=0.82|JP=0.0,CN=0.69|EN=0.65|ES=0.77|JP=0.0
GPT-4o,HL,D2,PLAIN,0.3333,-0.1667,-0.5,True,CN=1.0|EN=0.01|ES=0.04|JP=0.0,CN=0.95|EN=0.0|ES=0.0|JP=0.0
GPT-4o,HL,D2,ZSCOT,0.0,0.0,0.0,False,CN=0.76|EN=0.03|ES=0.1|JP=0.07,CN=0.71|EN=0.0|ES=0.05|JP=0.02
GPT-4o,HL,D3,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
GPT-4o,HL,D3,FSCOT,0.6667,0.6667,0.0,False,CN=0.99|EN=1.0|ES=1.0|JP=0.99,CN=0.94|EN=0.95|ES=0.95|JP=0.94
GPT-4o,HL,D3,PLAIN,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
GPT-4o,HL,D3,ZSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
GPT-4o,MF,D1,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
GPT-4o,MF,D1,FSCOT,-0.5,-0.5,0.0,False,CN=1.0|EN=0.96|ES=0.75|JP=1.0,CN=0.95|EN=0.91|ES=0.7|JP=0.95
GPT-4o,MF,D1,PLAIN,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
GPT-4o,MF,D1,ZSCOT,1.0,1.0,0.0,False,CN=0.68|EN=0.94|ES=0.79|JP=0.66,CN=0.63|EN=0.89|ES=0.74|JP=0.61
GPT-4o,MF,D2,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
GPT-4o,MF,D2,FSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
GPT-4o,MF,D2,PLAIN,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
GPT-4o,MF,D2,ZSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
GPT-4o,MF,D3,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
GPT-4o,MF,D3,FSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
GPT-4o,MF,D3,PLAIN,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
GPT-4o,MF,D3,ZSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
GPT-4o,YO,D1,CC,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
GPT-4o,YO,D1,FSCOT,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
GPT-4o,YO,D1,PLAIN,0.0,0.0,0.0,False,CN=1.0|EN=1.0|ES=1.0|JP=1.0,CN=0.95|EN=0.95|ES=0.95|JP=0.95
GPT-4o,YO,D1,ZSCOT,-0.3333,-0.3333,0.0,False,CN=0.98|EN=0.86|ES=0.96|JP=0.99,CN=0.93|EN=0.81|ES=0.91|JP=0.94
GPT-4o,YO,D2,CC,-0.5,-0.5,0.0,False,CN=1.0|EN=1.0|ES=0.0|JP=1.0,CN=0.95|EN=0.95|ES=0.0|JP=0.95
GPT-4o,YO,D2,FSCOT,0.3333,0.3333,0.0,False,CN=0.02|EN=1.0|ES=0.87|JP=0.99,CN=0.0|EN=0.95|ES=0.82|JP=0.94
GPT-4o,YO,D2,PLAIN,-0.1667,-0.1667,0.0,False,CN=0.29|EN=1.0|ES=0.16|JP=1.0,CN=0.24|EN=0.95|ES=0.11|JP=0.95
GPT-4o,YO,D2,ZSCOT,0.0,0.0,0.0,False,CN=0.45|EN=0.81|ES=0.34|JP=0.78,CN=0.4|EN=0.76|ES=0.29|JP=0.73
GPT-4o,YO,D3,CC,-0.6667,-0.5,0.1667,True,CN=0.17|EN=0.0|ES=0.01|JP=0.03,CN=0.12|EN=0.0|ES=0.0|JP=0.0
GPT-4o,YO,D3,FSCOT,-0.3333,-0.3333,0.0,False,CN=0.74|EN=0.01|ES=0.33|JP=0.9,CN=0.69|EN=0.0|ES=0.28|JP=0.85
GPT-4o,YO,D3,PLAIN,0.3333,0.3333,0.0,False,CN=0.06|EN=0.0|ES=0.61|JP=0.21,CN=0.01|EN=0.0|ES=0.56|JP=0.16
GPT-4o,YO,D3,ZSCOT,0.3333,0.3333,0.0,False,CN=0.2|EN=0.1|ES=0.28|JP=0.09,CN=0.15|EN=0.05|ES=0.23|JP=0.04
