LLM_std,Language,Dilemma,N,Bin1_Calibrated_count,Bin1_Calibrated_pct,Bin2_Rigid_tracking_count,Bin2_Rigid_tracking_pct,Bin3_Gradient_sensitive_overshoot_count,Bin3_Gradient_sensitive_overshoot_pct,Bin4_Gradient_erased_count,Bin4_Gradient_erased_pct,Bin5_Gradient_inverted_count,Bin5_Gradient_inverted_pct,Bin6_Non_tracking_contradiction_count,Bin6_Non_tracking_contradiction_pct,Bin7_Non_tracking_rigidity_count,Bin7_Non_tracking_rigidity_pct,Tracking_A_bins12_count,Tracking_A_bins12_pct,All_tracking_bins123_count,All_tracking_bins123_pct,NonTracking_B_bins67_count,NonTracking_B_bins67_pct,Deterministic_count,Deterministic_pct
Gemini Flash,ES,YO,12,0,0.0,2,16.7,1,8.3,1,8.3,2,16.7,2,16.7,4,33.3,2,16.7,3,25.0,6,50.0,6,50.0
Gemini Flash,JP,HL,12,1,8.3,0,0.0,3,25.0,2,16.7,6,50.0,0,0.0,0,0.0,1,8.3,4,33.3,0,0.0,7,58.3
Gemini Flash,JP,MF,12,5,41.7,2,16.7,2,16.7,3,25.0,0,0.0,0,0.0,0,0.0,7,58.3,9,75.0,0,0.0,4,33.3
Gemini Flash,JP,YO,12,0,0.0,1,8.3,1,8.3,1,8.3,6,50.0,3,25.0,0,0.0,1,8.3,2,16.7,3,25.0,4,33.3
Mistral Large,CN,HL,12,0,0.0,2,16.7,3,25.0,3,25.0,4,33.3,0,0.0,0,0.0,2,16.7,5,41.7,0,0.0,4,33.3
Mistral Large,CN,MF,12,0,0.0,2,16.7,2,16.7,3,25.0,4,33.3,1,8.3,0,0.0,2,16.7,4,33.3,1,8.3,6,50.0
Mistral Large,CN,YO,12,1,8.3,0,0.0,9,75.0,1,8.3,1,8.3,0,0.0,0,0.0,1,8.3,10,83.3,0,0.0,4,33.3
Mistral Large,EN,HL,12,4,33.3,2,16.7,3,25.0,1,8.3,2,16.7,0,0.0,0,0.0,6,50.0,9,75.0,0,0.0,3,25.0
Mistral Large,EN,MF,12,2,16.7,2,16.7,1,8.3,2,16.7,5,41.7,0,0.0,0,0.0,4,33.3,5,41.7,0,0.0,3,25.0
Mistral Large,EN,YO,12,2,16.7,4,33.3,5,41.7,0,0.0,1,8.3,0,0.0,0,0.0,6,50.0,11,91.7,0,0.0,3,25.0
Mistral Large,ES,HL,12,2,16.7,5,41.7,1,8.3,0,0.0,1,8.3,3,25.0,0,0.0,7,58.3,8,66.7,3,25.0,5,41.7
Mistral Large,ES,MF,12,0,0.0,3,25.0,3,25.0,3,25.0,3,25.0,0,0.0,0,0.0,3,25.0,6,50.0,0,0.0,7,58.3
Mistral Large,ES,YO,12,5,41.7,3,25.0,3,25.0,1,8.3,0,0.0,0,0.0,0,0.0,8,66.7,11,91.7,0,0.0,2,16.7
Mistral Large,JP,HL,12,1,8.3,2,16.7,6,50.0,0,0.0,3,25.0,0,0.0,0,0.0,3,25.0,9,75.0,0,0.0,3,25.0
Mistral Large,JP,MF,12,0,0.0,2,16.7,5,41.7,2,16.7,3,25.0,0,0.0,0,0.0,2,16.7,7,58.3,0,0.0,5,41.7
Mistral Large,JP,YO,12,0,0.0,2,16.7,7,58.3,0,0.0,2,16.7,1,8.3,0,0.0,2,16.7,9,75.0,1,8.3,2,16.7
